,index,Unnamed: 0,Date,Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits
0,9847,24925739,2020-01-02,AAPL,73.1920046399328,74.26923361726246,72.93258419047208,74.20746612548828,135480400.0,0.0,0.0
1,9848,24928950,2020-01-03,AAPL,73.41684365584602,74.2642918846562,73.25624967551408,73.48602294921875,146322800.0,0.0,0.0
2,9849,24934776,2020-01-06,AAPL,72.58669348695432,74.11111108215233,72.32973858965217,74.07157897949219,118387200.0,0.0,0.0
3,9850,24942981,2020-01-07,AAPL,74.08146013428332,74.34335370364859,73.49837861455754,73.72321319580078,108872000.0,0.0,0.0
4,9851,24951220,2020-01-08,AAPL,73.41931746565884,75.2179866504074,73.41931746565884,74.90914916992188,132079200.0,0.0,0.0
5,9852,24951444,2020-01-09,AAPL,75.90977382120641,76.69792761470029,75.6528264857555,76.50027465820312,170108400.0,0.0,0.0
6,9853,24961281,2020-01-10,AAPL,76.73993912460728,77.25137580498873,76.15932314977648,76.67322540283203,140644800.0,0.0,0.0
7,9854,24968592,2020-01-13,AAPL,76.99688806283962,78.33847617279662,76.87581865193881,78.31129455566406,121532000.0,0.0,0.0
8,9855,24974452,2020-01-14,AAPL,78.24706370554685,78.46201337632104,77.12783702601652,77.25383758544922,161954400.0,0.0,0.0
9,9856,24982448,2020-01-15,AAPL,77.04878338523547,77.95058740506386,76.48051784371556,76.92277526855469,121923600.0,0.0,0.0
10,9857,24989702,2020-01-16,AAPL,77.47867332546735,77.99999489868664,77.10806835928413,77.88633728027344,108829200.0,0.0,0.0
11,9858,24990861,2020-01-17,AAPL,78.14082148734981,78.75108465225654,77.82704532060787,78.74861907958984,137816400.0,0.0,0.0
12,9859,25001563,2020-01-21,AAPL,78.36813275287848,78.82026752865153,78.0741188539959,78.21495056152344,110843200.0,0.0,0.0
13,9860,25005209,2020-01-22,AAPL,78.71155588756565,79.05992548618957,78.39777970751815,78.494140625,101832400.0,0.0,0.0
14,9861,25015414,2020-01-23,AAPL,78.54849315782671,78.95368401351668,77.9876394647985,78.87215423583984,104472000.0,0.0,0.0
15,9862,25018866,2020-01-24,AAPL,79.12416809135082,79.88514037944778,78.44966427191768,78.64485168457031,146537600.0,0.0,0.0
