,Date,Ticker,Open,High,Low,Close,Volume,Dividends,Stock Splits
510234,1980-12-12,AAPL,0.1007644981145858,0.1012025803151226,0.1007644981145858,0.1007644981145858,469033600.0,0.0,0.0
511022,1980-12-15,AAPL,0.0959456444046353,0.0959456444046353,0.0955075621604919,0.0955075621604919,175884800.0,0.0,0.0
511380,1980-12-16,AAPL,0.0889356034261271,0.0889356034261271,0.0884975269436836,0.0884975269436836,105728000.0,0.0,0.0
511741,1980-12-17,AAPL,0.0906879678368568,0.0911260503946541,0.0906879678368568,0.0906879678368568,86441600.0,0.0,0.0
512565,1980-12-18,AAPL,0.0933172106742858,0.0937552872671092,0.0933172106742858,0.0933172106742858,73449600.0,0.0,0.0
513057,1980-12-19,AAPL,0.0990122109651565,0.0994502932982256,0.0990122109651565,0.0990122109651565,48630400.0,0.0,0.0
513458,1980-12-22,AAPL,0.1038310751318931,0.1042699412033536,0.1038310751318931,0.1038310751318931,37363200.0,0.0,0.0
513729,1980-12-23,AAPL,0.1082126423716545,0.1086507246119792,0.1082126423716545,0.1082126423716545,46950400.0,0.0,0.0
514577,1980-12-24,AAPL,0.1139076873660087,0.1143457696485092,0.1139076873660087,0.1139076873660087,48003200.0,0.0,0.0
515090,1980-12-26,AAPL,0.124422363936901,0.1248604461777435,0.124422363936901,0.124422363936901,55574400.0,0.0,0.0
515315,1980-12-29,AAPL,0.1261747330427169,0.1266128154635535,0.1261747330427169,0.1261747330427169,93161600.0,0.0,0.0
515682,1980-12-30,AAPL,0.1235462416181876,0.1235462416181876,0.1231081709265708,0.1231081709265708,68880000.0,0.0,0.0
516474,1980-12-31,AAPL,0.1200416493315704,0.1200416493315704,0.1196035668253898,0.1196035668253898,35750400.0,0.0,0.0
516811,1981-01-02,AAPL,0.12091775983572,0.1217939245378856,0.12091775983572,0.12091775983572,21660800.0,0.0,0.0
517471,1981-01-05,AAPL,0.1187273475647973,0.1187273475647973,0.1182892769575119,0.1182892769575119,35728000.0,0.0,0.0
518027,1981-01-06,AAPL,0.1134696186756905,0.1134696186756905,0.1130315363407135,0.1130315363407135,45158400.0,0.0,0.0
